"Definition Name","LenX","LenY","LenZ","Quantity"
"30_x6_ Air Return Grill","14""","5.1298""","0.4597""","3"
"Difference","0.75""","30""","35.75""","1"
"DrainStraight","2.25""","2.25""","3""","1"
"DrainTrough","50""","3""","1.0625""","1"
"Drawer Slide#1","5.4649""","30""","1.5094""","4"
"FinialHinge","0.6293"", 0.9063"" (18)","3.1123""","0.1875"" (18), 0.2152""","19"
"GaggenauInductioncooktopVI424610","15.1968""","20.7087""","2.1701""","1"
"Group","0.1487"" (16), 0.2873"" (2), 1.5748"" (2), 11"", 11.0996"" (2), 2.5349"" (10), 2.9528"" (2), 3.1496"" (2), 5.0724"" (4), 5.942"", 8.4963"", 92.529"" (2), 96.063""","0.0669"" (16), 0.1487"" (2), 1.0961"" (2), 1.4927"", 1.5439"", 1.5636"" (2), 1.5748"" (2), 2.036"" (2), 2.0943"" (10), 3.7228"", 4.8461"" (4), 48"", 480.315"", 49""","0.4849"" (18), 0.8115"" (6), 1.6221"" (4), 1.875"", 1.8805"", 105.9165"" (2), 109.3024"" (2), 113.7795"", 2.6248"" (4), 2.6851"", 3.3465"" (2), 7.3074"", 97.9921"", 98.189"" (2)","46"
"Insulation#1","85.5""","21.7422"" (6), 22.5"" (6)","1.5""","12"
"InsulationCrawlSpaceEnd","21.75""","3.5""","13""","4"
"InsulationCrawlSpaceSide","3.5""","21.75"" (12), 22.5"" (12)","13""","24"
"InsulationFloorCeiling#2","89.5""","21.75"" (2), 22.5"" (2)","3.5""","4"
"InsulationFloorCeiling#4","82.4375""","21.75""","3.5""","2"
"InsulationFloorCeiling#5","89.5""","21.75""","3.5""","4"
"InsulationFloorCeiling#6","82.4375""","21.75"", 9.75""","3.5""","2"
"InsulationFrontAboveDoor","14.8938""","3.5""","23""","2"
"InsulationFrontCrawlInner","17.4563""","3.5""","13""","2"
"InsulationFrontCrawlOuter","21.75""","3.5""","13""","2"
"InsulationRearDoor","14.6624""","3.5""","3.4487""","2"
"InsulationWall","3.5""","21""","76.75""","1"
"InsulationWall#2","3.5""","17.162"", 21.75"" (4), 26.325""","76.75"" (5), 9.1""","6"
"Lumber2x2#1","1.5""","1.5""","85.5""","15"
"Lumber2x4","3.5""","1.5""","13"" (30), 96"" (12)","42"
"Lumber2x4#1","3.5""","1.5""","48"" (2), 52.65"" (2)","4"
"Lumber2x4#10","3.5""","1.5""","48""","2"
"Lumber2x4#11","3.5""","1.5""","6""","4"
"Lumber2x4#12","3.5""","1.5""","3.4487""","1"
"Lumber2x4#13","3.5""","1.5""","48"" (2), 82.4375"" (3)","5"
"Lumber2x4#14","3.5""","1.5""","89.5"" (5), 96"" (2)","7"
"Lumber2x4#15","3.5""","1.5""","48"" (4), 89.5"" (6)","10"
"Lumber2x4#16","3.5""","1.5""","36"" (2), 82.4375"" (3)","5"
"Lumber2x4#17","3.5""","1.5""","76.75"" (8), 78.25""","9"
"Lumber2x4#18","3.5""","1.5""","76.75""","2"
"Lumber2x4#19","3.5""","1.5""","24""","2"
"Lumber2x4#2","3.5""","1.5""","13""","6"
"Lumber2x4#20","1.5""","1.5""","24"" (8), 8.3639""","9"
"Lumber2x4#21","1.5""","1.5"" (7), 3.5""","76.75""","8"
"Lumber2x4#22","1.5""","1.5""","12""","2"
"Lumber2x4#25","0.3472"" (4), 0.5"" (8)","0.5"" (8), 0.5739"" (4)","79.75""","12"
"Lumber2x4#5","2"", 3.5"" (18)","1.5""","13"" (5), 23"" (3), 30.825"", 33.825"", 34.2875"" (2), 57.721"", 73.7835"", 78.315"" (2), 79.75"", 85.9125"" (2)","19"
"Lumber2x4#7","3.5""","1.5""","96""","10"
"Lumber2x4#8","3.5""","1.5""","20.162"", 26.325"", 48"" (5)","7"
"Lumber4x8Ply#10","92.5""","48""","0.5""","2"
"Lumber4x8Ply#11","92.5""","48""","0.5""","2"
"Lumber4x8Ply#12","85.4375""","36""","0.5""","1"
"Lumber4x8Ply#3","3.5""","96""","0.5""","2"
"Lumber4x8Ply#5","96""","3.5""","0.5""","2"
"Lumber4x8Ply#6","3.5""","48""","0.5""","1"
"Lumber4x8Ply#7","48""","3.5""","0.5""","1"
"Lumber4x8Ply#9","85.4375""","48""","0.5""","1"
"Lumber8x4x0.5#1","92.5""","48""","0.5""","6"
"Panel116""","0.0625""","16""","96""","6"
"Panel116""#1","0.0625""","48"", 52.65""","16""","2"
"Panel116""#10","0.0625""","48""","85.4375""","1"
"Panel116""#11","0.0625""","48""","92.5""","2"
"Panel116""#12","0.0625""","48""","92.5""","2"
"Panel116""#13","0.0625""","36""","85.4375""","1"
"Panel116""#14","0.0625""","20.162"", 48"" (2)","79.75""","3"
"Panel116""#15","0.0625""","10.4378"", 12"", 3.5625""","79.75""","3"
"Panel116""#17","0.0625""","2""","79.75""","1"
"Panel116""#18","0.5208"" (2), 0.75"" (4)","20"" (4), 22.9565"" (2)","79.75""","6"
"Panel116""#5","0.0625""","3.5""","96""","2"
"Panel116""#6","0.0625""","3.5""","48""","1"
"Panel116""#8","0.0625""","16"" (2), 34.2875""","26"", 85.9125"" (2)","3"
"Panel116""#9","0.0625""","24""","11.369"" (2), 79.75"" (7)","9"
"PanelFloorCeiling4ft","92.5""","48""","4.0625""","6"
"PanelWall","3.5625""","48""","79.75""","12"
"Shower nozzle","0.125""","0.125""","0.0625""","39"
"Shower water control","2.9504""","4.2644""","0.8125""","1"
"Steel Flush Door#1","23.8125""","1.75""","72""","1"
"Steel Flush#1","40""","5.75""","86""","2"
"Steel Frame#1","28""","5.75""","74.75""","1"
"StrainerBlocks","40.5""","1""","0.4""","1"
"StrainerSteel","48""","10.3156""","0.3936""","1"
"StrainerTile","48""","1.515""","0.58""","1"
"air vent","3.995""","3.995""","2.75""","2"
"bathroom sink","20.7196""","15.6797""","9.125""","1"
"batteryvmax125ah","6.8""","12.9""","8.7""","8"
"bracketmount","0.825""","10.875""","2""","1"
"bracketmount#1","0.825""","10.875""","2""","1"
"bracketsupportlower","1""","1.75""","1""","2"
"cabMicro","25""","25.0044""","36""","1"
"cabOven","24.5""","26.9773""","36""","1"
"cabSink","17""","25""","51.6639""","1"
"cabWD","25""","26.25""","36""","1"
"compseat_bach_with_hinges","34.875""","5.2334""","21.102""","2"
"cushionback","38.0355""","12.0079""","18.1979""","2"
"cushionbottom","36""","25""","5""","2"
"door","14""","23""","0.75""","6"
"door#1","23.6111"" (2), 34"" (2)","0.75"" (2), 0.8609"" (2)","10"" (2), 74"" (2)","4"
"drawer","34.5""","30.5""","13.5""","2"
"duct7x14","96""","7""","14""","1"
"ductreducer8in","8.8583""","6.4961""","8.8583""","1"
"flojet","11.0056""","11.1514""","6.6393""","1"
"frameside","1.75""","8.8699""","59.6147""","2"
"hinge","3.6033""","4.5""","1.586""","4"
"lumber_1x1","0.75""","12.5"" (4), 20.5"" (4), 30"" (8)","0.75""","16"
"lumber_1x1_angle","34.875""","0.75""","0.75""","2"
"lumbertrim","13.5"" (3), 72""","0.75""","1.5"" (3), 2.25""","4"
"maincabinet","10""","13.875""","22.875""","1"
"panelbase","70.5""","30""","0.25""","1"
"panelconnections","7.4241""","11.625""","1.4375""","1"
"panelend","0.75""","30""","36""","2"
"panelseat","34.875""","30""","0.75""","2"
"piano_hinge","1.5""","2""","0.1875""","2"
"refrigerator","23.8125""","24.8125""","53.3125""","1"
"rungwith_blocks","16""","1.25""","2.5""","5"
"solarpanelrenogy100w","39.7""","26.7""","1.545""","6"
"steelsquare1in","92.5""","1""","1""","2"
"top","25"", 36"" (2)","20.75"" (2), 23.8174""","0.75""","3"
"trimhorizontal","25"" (2), 36"" (4)","0.75"" (4), 0.8609"" (2)","3.4819""","6"
"trimtop","72""","1.5""","0.75""","1"
"trimvertical","0.75"" (2), 1.0417"" (2), 1.5"" (4)","0.75"" (4), 0.8609"" (4)","53"" (2), 72.75"" (4), 9.5"" (2)","8"
"trimvertical#1","1.0417""","0.8609""","10.25""","2"
"tubingsquaresteel0.5in","0.5""","22"" (2), 38.7"" (2), 64.1875"" (2), 96"" (2)","0.5""","8"
"tubingvent#1","6""","2""","6""","1"
"vent","10""","0.3622""","2""","6"
"verticalcenter","2""","11.75""","19""","4"
"vortexs800","10""","14""","10.4701""","2"
"woodplank1x4","13"" (4), 19.75"" (4), 70.5"" (2), 72"" (4)","11"" (6), 2"" (4), 3"" (2), 6"" (2)","0.75""","14"